City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2021-05-01 03:34:58,-54.8,-68.3,37.4,93,75,59.84
1,Yellowknife,CA,2021-05-01 03:34:58,62.456,-114.3525,30.2,100,90,10.36
2,Saskylakh,RU,2021-05-01 03:34:59,71.9167,114.0833,33.12,99,100,7.78
3,Okhotsk,RU,2021-05-01 03:34:59,59.3833,143.3,36.05,78,100,3.09
4,Banda Aceh,ID,2021-05-01 03:35:00,5.5577,95.3222,86.72,65,60,7.81
5,Mataura,NZ,2021-05-01 03:35:00,-46.1927,168.8643,55.99,73,65,3.0
6,Saint-Philippe,RE,2021-05-01 03:35:00,-21.3585,55.7679,75.2,78,0,3.44
7,Ribeira Grande,PT,2021-05-01 03:35:01,38.5167,-28.7,59.85,83,100,12.57
8,Matara,LK,2021-05-01 03:35:01,5.9485,80.5353,85.64,69,18,2.01
9,Puerto Ayora,EC,2021-05-01 03:35:02,-0.7393,-90.3518,74.17,83,2,6.78
10,Kimbe,PG,2021-05-01 03:35:03,-5.5502,150.1429,88.74,57,31,6.2
11,Deputatskiy,RU,2021-05-01 03:35:04,69.3,139.9,26.6,87,100,4.09
12,Pevek,RU,2021-05-01 03:35:04,69.7008,170.3133,18.3,84,100,15.21
13,Gidole,ET,2021-05-01 03:35:05,5.65,37.3667,55.67,91,98,2.51
14,Busselton,AU,2021-05-01 03:35:05,-33.65,115.3333,64.0,76,98,1.01
15,Carnarvon,AU,2021-05-01 03:35:06,-24.8667,113.6333,77.0,38,100,8.05
16,Hobart,AU,2021-05-01 03:35:06,-42.8794,147.3294,71.6,35,75,9.22
17,Lazaro Cardenas,MX,2021-05-01 03:35:07,17.9583,-102.2,76.71,81,68,5.64
18,Albany,US,2021-05-01 03:33:59,42.6001,-73.9662,43.0,69,90,3.0
19,Butaritari,KI,2021-05-01 03:35:07,3.0707,172.7902,83.43,72,76,8.72
20,Tessalit,ML,2021-05-01 03:35:08,20.1986,1.0114,78.22,34,86,16.73
21,Ahipara,NZ,2021-05-01 03:35:08,-35.1667,173.1667,64.18,68,51,12.17
22,Pandan,PH,2021-05-01 03:35:08,14.0453,124.1694,84.15,61,8,4.68
23,Arlit,NE,2021-05-01 03:35:09,18.7369,7.3853,81.82,6,0,5.44
24,Bubaque,GW,2021-05-01 03:35:09,11.2833,-15.8333,79.11,68,20,13.42
25,Bredasdorp,ZA,2021-05-01 03:35:10,-34.5322,20.0403,41.0,93,0,2.3
26,Rikitea,PF,2021-05-01 03:32:59,-23.1203,-134.9692,78.96,79,79,20.36
27,Novyy Urgal,RU,2021-05-01 03:35:10,51.0736,132.5642,55.56,41,91,1.21
28,Cape Town,ZA,2021-05-01 03:34:43,-33.9258,18.4232,57.99,82,0,9.22
29,Sur,OM,2021-05-01 03:35:11,22.5667,59.5289,86.25,49,61,3.83
30,Constitucion,CL,2021-05-01 03:30:56,-35.3333,-72.4167,55.18,84,100,11.25
31,Arraial Do Cabo,BR,2021-05-01 03:35:12,-22.9661,-42.0278,71.46,64,35,5.12
