City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Sibolga,ID,78.58,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
1,Aksu,CN,73.29,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
3,Victoria,HK,79.0,broken clouds,22.2855,114.1577,Mini Hotel Central
4,Asau,RO,62.01,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
6,Concordia,AR,79.0,clear sky,-31.393,-58.0209,Palmar Hotel Casino
9,Rikitea,PF,76.48,light rain,-23.1203,-134.9692,Pension Maro'i
12,Platanos,GR,72.0,scattered clouds,37.6667,21.6167,Hotel Kronio
13,Kavieng,PG,81.5,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
14,Puerto Ayora,EC,82.4,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
15,Hilo,US,77.0,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
21,Aborlan,PH,80.6,few clouds,9.4352,118.5492,Kevina Transient House
22,Bayji,IQ,78.26,scattered clouds,34.9311,43.486999999999995,قريه جديده
23,Cape Town,ZA,61.0,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
24,Faanui,PF,80.6,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
27,Cleveland,US,62.6,clear sky,41.4995,-81.6954,Renaissance Cleveland Hotel
31,Gat,IL,73.99,broken clouds,31.61,34.7642,OlusHome
33,Negara,ID,76.17,broken clouds,-8.3151,114.6025,Villa Maya West Bali
35,Macas,EC,73.4,moderate rain,-2.3167,-78.1167,Casa Upano - Guesthouse & Sanctuary
37,Makakilo City,US,78.8,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
40,Boyuibe,BO,80.6,clear sky,-20.4167,-63.2833,Residencial Eluzai
44,Pointe Michel,DM,87.8,scattered clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
45,Vila Franca Do Campo,PT,60.8,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
46,Kutum,SD,83.82,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
50,Pisco,PE,71.6,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
52,Pathein,MM,79.81,scattered clouds,16.7833,94.7333,New Pammawaddy Hotel
53,San Patricio,US,75.0,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
54,Kavaratti,IN,85.55,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
55,Rosario Oeste,BR,89.53,few clouds,-14.8361,-56.4275,ARLS Cavaleiros da Fraternidade n°67
57,Urla,TR,73.4,clear sky,38.3229,26.764,ulice Restaurant & Cafe & Butik Otel
59,Sugod,PH,79.74,scattered clouds,12.987,124.0805,Musngi Garage
61,Pitimbu,BR,84.2,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
65,Mount Isa,AU,66.2,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
67,Porbandar,IN,83.77,scattered clouds,21.6422,69.6093,Lords Inn Porbandar
69,Namibe,AO,76.3,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
74,Sampit,ID,74.88,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
77,Trincomalee,LK,83.14,moderate rain,8.5711,81.2335,Welcombe Hotel
82,Vaini,TO,75.2,scattered clouds,-21.2,-175.2,Keleti Beach Resort
83,Atuona,PF,78.44,clear sky,-9.8,-139.0333,Villa Enata
84,Souillac,MU,73.4,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
85,Carnarvon,AU,68.0,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
87,Saint-Philippe,RE,75.2,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
90,Hambantota,LK,78.8,scattered clouds,6.1241,81.1185,Bungalow 63
92,Port Alfred,ZA,62.01,clear sky,-33.5906,26.891,The Halyards Hotel
93,Hervey Bay,AU,69.01,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
94,Arraial Do Cabo,BR,73.4,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
96,Lorengau,PG,79.47,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
97,Ribeira Grande,PT,62.6,broken clouds,38.5167,-28.7,Quinta da Meia Eira
98,Mahibadhoo,MV,83.97,clear sky,3.7833,72.9667,Omadhoo Inn
99,Tautira,PF,82.4,scattered clouds,-17.7333,-149.15,Pension Oaoa
101,Port Blair,IN,83.19,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
102,Lethem,GY,89.82,overcast clouds,3.3803,-59.7968,Savannah Inn
103,Korla,CN,68.9,scattered clouds,41.7597,86.1469,Gulisitan Hotel
