City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sibolga,ID,1.7427,98.7792,78.58,85,99,2.37,overcast clouds
1,Aksu,CN,41.1231,80.2644,73.29,20,91,4.63,overcast clouds
2,Kushmurun,KZ,52.4503,64.6311,52.97,50,67,10.49,broken clouds
3,Victoria,HK,22.2855,114.1577,79.0,85,77,1.01,broken clouds
4,Asau,RO,46.4333,26.4,62.01,53,92,3.4,overcast clouds
5,Airai,TL,-8.9266,125.4092,56.43,88,95,3.04,overcast clouds
6,Concordia,AR,-31.393,-58.0209,79.0,38,0,11.5,clear sky
7,Jamestown,US,42.097,-79.2353,59.0,32,1,8.05,clear sky
8,East London,ZA,-33.0153,27.9116,57.2,88,0,6.91,clear sky
9,Rikitea,PF,-23.1203,-134.9692,76.48,79,88,11.03,light rain
10,Tuktoyaktuk,CA,69.4541,-133.0374,14.0,92,90,8.05,mist
11,Ushuaia,AR,-54.8,-68.3,44.6,65,20,4.61,few clouds
12,Platanos,GR,37.6667,21.6167,72.0,56,40,5.97,scattered clouds
13,Kavieng,PG,-2.5744,150.7967,81.5,76,85,3.91,overcast clouds
14,Puerto Ayora,EC,-0.7393,-90.3518,82.4,65,40,20.71,scattered clouds
15,Hilo,US,19.7297,-155.09,77.0,65,40,3.44,light rain
16,Constitucion,CL,-35.3333,-72.4167,55.04,94,100,8.21,moderate rain
17,Fortuna,US,40.5982,-124.1573,54.0,100,75,12.66,broken clouds
18,Bredasdorp,ZA,-34.5322,20.0403,50.0,93,6,2.3,clear sky
19,Mataura,NZ,-46.1927,168.8643,48.0,85,7,3.0,clear sky
20,Nikolskoye,RU,59.7035,30.7861,43.0,56,20,4.47,few clouds
21,Aborlan,PH,9.4352,118.5492,80.6,83,20,4.61,few clouds
22,Bayji,IQ,34.9311,43.487,78.26,37,41,6.78,scattered clouds
23,Cape Town,ZA,-33.9258,18.4232,61.0,82,0,8.05,clear sky
24,Faanui,PF,-16.4833,-151.75,80.6,68,83,4.34,broken clouds
25,Punta Arenas,CL,-53.15,-70.9167,46.4,66,20,8.05,few clouds
26,Hermanus,ZA,-34.4187,19.2345,59.0,75,33,3.0,scattered clouds
27,Cleveland,US,41.4995,-81.6954,62.6,29,1,14.97,clear sky
28,Vizinga,RU,61.0749,50.1031,36.48,82,75,7.74,broken clouds
29,Klaksvik,FO,62.2266,-6.589,37.4,87,75,8.01,broken clouds
30,Upernavik,GL,72.7868,-56.1549,32.95,76,61,2.75,broken clouds
31,Gat,IL,31.61,34.7642,73.99,56,65,5.12,broken clouds
32,Karlstad,SE,59.3793,13.5036,48.2,53,20,3.44,few clouds
33,Negara,ID,-8.3151,114.6025,76.17,89,62,2.28,broken clouds
34,Bluff,NZ,-46.6,168.3333,48.0,85,3,3.0,clear sky
35,Macas,EC,-2.3167,-78.1167,73.4,73,75,4.61,moderate rain
36,Yablonovo,RU,50.8523,37.3574,59.0,47,0,6.71,clear sky
37,Makakilo City,US,21.3469,-158.0858,78.8,78,40,5.75,scattered clouds
38,Belogorsk,RU,50.9158,128.4611,42.67,49,100,4.21,overcast clouds
39,Albany,US,42.6001,-73.9662,55.0,37,15,8.01,few clouds
40,Boyuibe,BO,-20.4167,-63.2833,80.6,44,1,8.16,clear sky
41,Doka,SD,13.5167,35.7667,95.32,22,100,5.93,overcast clouds
42,Leh,IN,34.1667,77.5833,41.36,46,39,3.29,scattered clouds
43,Lagoa,PT,39.05,-27.9833,59.16,89,100,22.44,overcast clouds
44,Pointe Michel,DM,15.25,-61.3833,87.8,66,40,2.3,scattered clouds
45,Vila Franca Do Campo,PT,37.7167,-25.4333,60.8,88,75,13.8,broken clouds
46,Kutum,SD,14.2,24.6667,83.82,11,45,9.06,scattered clouds
47,Hobart,AU,-42.8794,147.3294,55.0,76,99,10.36,overcast clouds
48,Cherskiy,RU,68.75,161.3,-0.81,98,35,2.59,scattered clouds
49,Busselton,AU,-33.65,115.3333,57.0,96,74,3.51,broken clouds
50,Pisco,PE,-13.7,-76.2167,71.6,73,0,9.22,clear sky
51,Korem,ET,12.5058,39.5228,55.54,93,99,3.2,heavy intensity rain
52,Pathein,MM,16.7833,94.7333,79.81,77,43,3.85,scattered clouds
53,San Patricio,US,28.017,-97.5169,75.0,94,90,11.5,overcast clouds
54,Kavaratti,IN,10.5669,72.642,85.55,71,11,6.08,few clouds
55,Rosario Oeste,BR,-14.8361,-56.4275,89.53,50,24,3.06,few clouds
56,Thompson,CA,55.7435,-97.8558,21.2,86,90,9.22,light snow
57,Urla,TR,38.3229,26.764,73.4,73,0,0.72,clear sky
58,Qaanaaq,GL,77.484,-69.3632,35.02,71,92,3.31,overcast clouds
59,Sugod,PH,12.987,124.0805,79.74,79,47,7.52,scattered clouds
60,Tadine,NC,-21.55,167.8833,75.4,73,100,18.61,overcast clouds
61,Pitimbu,BR,-7.4706,-34.8086,84.2,74,40,12.66,scattered clouds
62,Klyuchi,RU,52.2667,79.1667,42.66,52,83,8.75,broken clouds
63,Husavik,IS,66.0449,-17.3389,35.6,69,75,14.97,broken clouds
64,Kaitangata,NZ,-46.2817,169.8464,48.99,69,2,8.01,clear sky
65,Mount Isa,AU,-20.7333,139.5,66.2,48,0,1.14,clear sky
66,Yeniseysk,RU,58.4497,92.1703,32.05,96,37,2.51,scattered clouds
67,Porbandar,IN,21.6422,69.6093,83.77,72,39,9.26,scattered clouds
68,Dikson,RU,73.5069,80.5464,24.42,89,98,5.28,overcast clouds
69,Namibe,AO,-15.1961,12.1522,76.3,75,3,6.71,clear sky
70,New Norfolk,AU,-42.7826,147.0587,55.0,62,100,3.04,overcast clouds
71,Yatou,CN,37.15,122.3833,45.72,84,16,11.14,few clouds
72,Aklavik,CA,68.2191,-135.0107,23.0,80,90,10.36,overcast clouds
73,Port Elizabeth,ZA,-33.918,25.5701,57.2,82,0,3.44,clear sky
74,Sampit,ID,-2.5333,112.95,74.88,95,90,2.42,overcast clouds
75,Esperance,AU,-33.8667,121.9,51.8,82,2,11.5,clear sky
76,Lipin Bor,RU,60.2622,37.9763,30.72,87,76,5.86,light snow
77,Trincomalee,LK,8.5711,81.2335,83.14,75,100,9.17,moderate rain
78,Barrow,US,71.2906,-156.7887,21.2,86,90,10.36,light snow
79,Yellowknife,CA,62.456,-114.3525,27.0,63,20,10.36,few clouds
80,Saskylakh,RU,71.9167,114.0833,30.15,98,100,2.51,overcast clouds
81,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,32.0,100,90,1.86,light snow
82,Vaini,TO,-21.2,-175.2,75.2,83,40,13.8,scattered clouds
83,Atuona,PF,-9.8,-139.0333,78.44,74,6,8.93,clear sky
84,Souillac,MU,-20.5167,57.5167,73.4,94,20,4.61,few clouds
85,Carnarvon,AU,-24.8667,113.6333,68.0,73,100,9.22,overcast clouds
86,Flinders,AU,-34.5833,150.8552,57.99,89,74,1.01,broken clouds
87,Saint-Philippe,RE,-21.3585,55.7679,75.2,78,0,6.91,clear sky
88,Te Anau,NZ,-45.4167,167.7167,39.07,87,14,1.16,few clouds
89,Torbay,CA,47.6666,-52.7314,57.0,67,75,29.93,broken clouds
90,Hambantota,LK,6.1241,81.1185,78.8,100,40,3.44,scattered clouds
