City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Umm Lajj,SA,2021-04-28 21:35:09,25.0213,37.2685,80.69,40,0,4.38
1,Atuona,PF,2021-04-28 21:36:42,-9.8,-139.0333,79.52,71,85,11.45
2,Rikitea,PF,2021-04-28 21:36:38,-23.1203,-134.9692,76.21,67,30,10.6
3,Los Llanos De Aridane,ES,2021-04-28 21:38:33,28.6585,-17.9182,69.8,60,90,6.91
4,Broken Hill,AU,2021-04-28 21:38:33,-31.95,141.4333,50.0,57,0,6.6
5,Hobart,AU,2021-04-28 21:37:08,-42.8794,147.3294,55.99,71,75,5.75
6,Kholmogory,RU,2021-04-28 21:38:34,64.2229,41.656,24.8,93,20,3.51
7,Blagodatnoye,RU,2021-04-28 21:38:35,45.3997,42.5867,50.0,93,0,11.18
8,Kharp,RU,2021-04-28 21:38:35,66.8014,65.8081,22.98,95,100,6.6
9,Ofaqim,IL,2021-04-28 21:38:36,31.3141,34.6203,66.99,79,0,6.4
10,Ushuaia,AR,2021-04-28 21:37:10,-54.8,-68.3,39.2,87,75,16.11
11,Hithadhoo,MV,2021-04-28 21:36:45,-0.6,73.0833,83.08,72,21,6.4
12,Vanimo,PG,2021-04-28 21:38:37,-2.6741,141.3028,79.02,81,100,3.49
13,Barrow,US,2021-04-28 21:37:21,71.2906,-156.7887,19.4,86,90,9.22
14,Conceicao Do Araguaia,BR,2021-04-28 21:38:37,-8.2578,-49.2647,80.6,83,0,3.44
15,Port Blair,IN,2021-04-28 21:38:38,11.6667,92.75,81.77,73,99,3.24
16,Ginir,ET,2021-04-28 21:38:38,7.1333,40.7,57.94,87,45,4.68
17,Nikolskoye,RU,2021-04-28 21:37:30,59.7035,30.7861,37.99,75,0,4.47
18,Ankazoabo,MG,2021-04-28 21:38:39,-22.2833,44.5167,74.55,65,91,6.2
19,Jiaozuo,CN,2021-04-28 21:38:39,35.2397,113.2331,57.25,31,40,7.2
20,Krasnoselkup,RU,2021-04-28 21:37:25,65.7,82.4667,31.37,97,100,8.88
